 Country,record_id ,constitution,phy_add,sec_address,state/county,country,authorization_info,reg_no,pharmacist_details,e_pharm_app,track_dlvry,eng_lang,lang_opt,other_lang,tele_helpline,chat___1,chat___2,chat___3,faq,complaints,review_testimonials,return_policy,privacy_policy,secur_encrypt,encrypt_certif,pay_gateway,pay_options___1,pay_options___2,pay_options___3,pay_options___4,pay_options___5,pay_options___6,pay_options___7,pay_options___8,pay_options___9,pay_options___10,pay_options___11,electronic_specify,other_pay,where_deliver,other_geo_cover,otc_sale,pom_sale,controlled_sale,herbal_altmed,nutra,indicat_use,side_effects,drug_interactions,online_consult,lab_services,prescription_upload___1,prescription_upload___2,prescription_upload___3,prescription_upload___4,prescription_upload___5,other_prescription_upload,refill_remind,ad_pres_drugs,ad_other_prod,discount_coupon,discount_meds,certi_accredi,certification_specify,promo_social_media___1,promo_social_media___2,promo_social_media___3,promo_social_media___4,promo_social_media___5,promo_social_media___6,promo_social_media___7,promo_social_media___8,other_social,e_pharmacy_website_complete,constitution_app,phy_add_app,sec_address_app,state_app,country_app,store_app___1,store_app___2,downloads_app,authorization_info_app,reg_no_app,pharmacist_details_app,track_dlvry_app,eng_lang_app,lang_opt_app,other_lang_app,tele_helpline_app,chat_app___1,chat_app___2,chat_app___3,faq_app,complaints_app,review_testimonials_app,return_policy_app,privacy_policy_app,secur_encrypt_app,encrypt_certif_app,pay_options_app___1,pay_options_app___2,pay_options_app___3,pay_options_app___4,pay_options_app___5,pay_options_app___6,pay_options_app___7,pay_options_app___8,pay_options_app___9,pay_options_app___10,pay_options_app___11,electronic_specify_app,other_pay_app,where_deliver_app,other_geo_cover_app,otc_sale_app,pom_sale_app,controlled_sale_app,herbal_altmed_app,nutra_app,indicat_use_app,side_effects_app,drug_interactions_app,online_consult_app,lab_services_app,app_prescription___1,app_prescription___2,app_prescription___3,app_prescription___4,app_prescription___5,other_upload,refill_remind_app,ad_pres_drugs_app,ad_other_prod_app,discount_coupon_app,discount_meds_app,certi_accredi_app,certification_specify_app,e_pharmacy_app_complete,"Total Visits (for the last full month, i.e. May 2023)","Total Visits for the previous 3 months (see graph lower down for traffic over the past 3 full months, i.e.March, April, May 2023)",Total Visits_past_3months
India,24,0,1,0,maharashtra,india,3,np,0,1,0,1,0,,2,0,1,0,0,0,0,0,1,0,,2,0,0,0,0,0,0,0,0,0,0,1,,unclear,6,,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,,1,0,0,1,1,0,,1,1,1,0,1,1,0,0,,2,0,0,0,np,np,1,1,5K+,3,np,0,0,1,0,,4,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,,np,6,,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,,0,0,0,0,,0,,2,17.0K,"66,100",66100
India,25,1,1,0,delhi,india,3,np,0,1,1,1,0,,2,0,0,1,1,0,0,1,1,0,,1,1,1,1,0,1,1,1,0,0,0,0,"phonepe,freecharge,payzapp,olamoney,jiomoney,airtelmoney,paytm",,6,,1,1,0,1,1,1,1,2,1,0,1,0,0,0,0,,0,0,1,1,1,0,,1,1,1,0,1,1,0,0,,2,1,1,0,delhi,india,1,1,500K+,3,np,0,1,1,0,,4,0,0,1,1,1,1,1,1,0,,1,1,1,0,1,1,1,0,0,0,1,"phonepe,amazonpay,mobikwik,freecharge,airtelmoney,olamoney,jiomoney","emi via zestmoney,simpl,lazypay,icici",3,,1,1,0,1,1,1,1,2,1,0,1,0,0,0,0,,0,0,1,1,0,0,,2,2.7M,"6,200,000",6200000
India,26,0,1,1,west bengal,india,3,np,0,1,1,1,0,,2,0,0,1,1,1,0,1,1,0,,1,1,1,1,0,1,1,1,0,0,0,0,paytm,,6,,1,1,0,1,1,1,1,3,1,0,1,0,0,0,0,,0,0,1,1,1,0,,1,1,1,0,1,0,0,0,,2,0,1,0,westbengal,india,1,1,5M+,3,np,0,1,1,0,,2,0,0,1,1,1,0,1,1,0,,1,1,1,0,1,1,1,0,0,0,0,"paytm,phonepe",,6,,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,,0,0,1,1,1,0,,2,1.6M,"4,200,000",4200000
India,27,0,1,0,chattisgarh,india,3,np,0,1,1,1,0,,2,0,1,0,1,0,0,1,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,,,1,,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,,0,0,0,1,1,0,,1,1,1,0,1,1,0,0,,2,0,0,0,np,np,1,1,50K+,3,np,0,0,1,1,hindi,2,0,0,1,0,0,0,0,1,0,,0,0,0,1,1,0,0,0,0,0,0,,,1,,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,,0,0,0,1,1,0,,2,1.7K,"7,200",7200
India,28,0,1,0,gujarat,india,3,np,0,1,0,1,0,,2,0,0,1,1,0,0,1,1,0,,2,1,1,1,0,1,0,0,0,0,0,0,,,6,,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,,0,0,0,1,1,0,,1,1,1,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,22.8K,"59,300",59300
India,29,1,1,0,delhi,india,3,np,0,1,0,1,0,,2,0,0,1,0,1,0,1,1,0,,2,0,0,0,1,0,0,0,0,0,0,1,,unclear,1,,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,,0,0,1,1,1,0,,1,1,1,0,1,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,16.1K,"41,400",41400
India,30,0,1,0,delhi,india,3,np,0,1,0,1,0,,2,0,1,0,0,0,0,1,1,0,,1,1,1,1,0,1,1,1,0,0,0,1,"paytm,mobikwik,olamoney,jiomoney,freecharge",emi,6,,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,,0,0,0,1,1,0,,1,1,1,0,1,1,0,0,,2,0,0,0,np,np,1,0,1K+,3,np,0,0,1,0,,4,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,,unclear,1,,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,,0,0,0,1,1,0,,2,158.9K,"294,900",294900
India,31,0,1,1,"tamilnadu,karnataka",india,3,np,0,1,1,1,0,,2,0,1,0,1,1,0,1,1,0,,1,0,0,1,0,1,1,1,0,0,0,0,paytm,,1,,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,,0,0,0,1,1,0,,0,1,1,0,1,1,0,0,,2,0,1,0,tamilnadu,india,1,1,5K+,3,np,0,1,1,0,,2,1,1,0,1,1,0,1,1,0,,0,0,1,0,1,1,1,0,0,0,0,paytm,,1,,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,,1,0,0,0,,0,,2,102.4K,"320,300",320300
India,32,0,0,0,np,np,3,np,0,1,1,1,0,,2,0,0,1,1,0,0,1,1,0,,1,1,1,1,0,1,1,1,0,0,0,0,"phonepe,olamoney,jiomoney,airtelmoney,yespay,freecharge,paytm",,6,,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,,0,0,1,1,1,0,,1,1,1,0,1,1,0,0,,2,0,0,0,np,np,1,1,1K+,3,np,0,1,1,0,,2,0,0,1,1,0,0,1,1,0,,1,1,1,0,1,1,1,0,0,0,0,"airtelmoney,freecharge,jiomoney,olamoney,paytm,phonepe,yespay",,6,,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,,1,0,1,1,1,0,,2,39.3K,"118,400",118400
India,33,1,1,0,delhi,india,3,np,0,1,1,1,0,,2,0,0,1,0,0,1,1,1,0,,1,1,1,1,0,1,1,1,0,0,0,0,paytm,,3,,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,post,1,0,1,1,1,0,,1,0,1,0,0,1,1,0,pinterest,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19.5K,"61,100",61100
